Rk,Squad,Country,LgRk,League_Status,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
9,Leicester City,ENG,1,Stay,38,23,12,3,68,36,32,81,2,31998,Jamie Vardy - 24,Kasper Schmeichel
11,Arsenal,ENG,2,Stay,38,20,11,7,65,36,29,71,2,59944,Olivier Giroud - 16,Petr Čech
12,Tottenham,ENG,3,Stay,38,19,13,6,69,35,34,70,2,35776,Harry Kane - 25,Hugo Lloris
15,Manchester City,ENG,4,Stay,38,19,9,10,71,41,30,66,2,54041,Sergio Agüero - 24,Joe Hart
16,Manchester Utd,ENG,5,Stay,38,19,9,10,49,35,14,66,2,75286,Anthony Martial - 11,David de Gea
21,Southampton,ENG,6,Stay,38,18,9,11,59,41,18,63,2,30751,Sadio Mané Graziano Pellè - 11,Fraser Forster
23,West Ham,ENG,7,Stay,38,16,14,8,65,51,14,62,2,34910,Dimitri Payet Andy Carroll - 9,Adrián
27,Liverpool,ENG,8,Stay,38,16,12,10,63,50,13,60,2,43910,Roberto Firmino - 10,Simon Mignolet
39,Stoke City,ENG,9,Stay,38,14,9,15,41,55,-14,51,1,27534,Marko Arnautović - 11,Jack Butland
40,Chelsea,ENG,10,Stay,38,12,14,12,59,53,6,50,1,41500,Diego Costa - 12,Thibaut Courtois
52,Everton,ENG,11,Stay,38,11,14,13,59,55,4,47,1,38124,Romelu Lukaku - 18,Tim Howard
53,Swansea City,ENG,12,Stay,38,12,11,15,42,52,-10,47,1,20711,André Ayew - 12,Łukasz Fabiański
58,Watford,ENG,13,Stay,38,12,9,17,40,50,-10,45,1,20594,Odion Ighalo - 15,Heurelho Gomes
66,West Brom,ENG,14,Stay,38,10,13,15,34,48,-14,43,1,24631,Salomón Rondón - 9,Boaz Myhill
72,Crystal Palace,ENG,15,Stay,38,11,9,18,39,51,-12,42,1,24825,Yannick Bolasie Connor Wickham... - 5,Wayne Hennessey
73,Bournemouth,ENG,16,Stay,38,11,9,18,45,67,-22,42,1,11189,Joshua King - 6,Artur Boruc
80,Sunderland,ENG,17,Stay,38,9,12,17,48,62,-14,39,1,43071,Jermain Defoe - 15,Vito Mannone
88,Newcastle Utd,ENG,18,Relegated,38,9,10,19,44,65,-21,37,1,49754,Georginio Wijnaldum - 11,Rob Elliot
92,Norwich City,ENG,19,Relegated,38,9,7,22,39,67,-28,34,1,26972,Dieumerci Mbokani - 7,John Ruddy
98,Aston Villa,ENG,20,Relegated,38,3,8,27,27,76,-49,17,0,33690,Jordan Ayew - 7,Brad Guzan
4,Barcelona,ESP,1,Stay,38,29,4,5,112,29,83,91,2,79724,Luis Suárez - 40,Claudio Bravo
5,Real Madrid,ESP,2,Stay,38,28,6,4,110,34,76,90,2,71280,Cristiano Ronaldo - 35,Keylor Navas
6,Atlético Madrid,ESP,3,Stay,38,28,4,6,63,18,45,88,2,47113,Antoine Griezmann - 22,Jan Oblak
20,Villarreal,ESP,4,Stay,38,18,10,10,44,35,9,64,2,17557,Cédric Bakambu - 12,Alphonse Areola
24,Athletic Club,ESP,5,Stay,38,18,8,12,58,45,13,62,2,41945,Aritz Aduriz - 20,Gorka Iraizoz
29,Celta Vigo,ESP,6,Stay,38,17,9,12,51,59,-8,60,2,18190,Iago Aspas - 14,Sergio Álvarez
38,Sevilla,ESP,7,Stay,38,14,10,14,51,50,1,52,1,34142,Kévin Gameiro - 16,Sergio Rico
50,Málaga,ESP,8,Stay,38,12,12,14,38,35,3,48,1,20980,Charles - 12,Carlos Kameni
51,Real Sociedad,ESP,9,Stay,38,13,9,16,45,48,-3,48,1,20594,Imanol Agirretxe - 13,Gerónimo Rulli
62,Betis,ESP,10,Stay,38,11,12,15,34,52,-18,45,1,38070,Rubén Castro - 19,Antonio Adán
64,Las Palmas,ESP,11,Stay,38,12,8,18,45,53,-8,44,1,21304,Jonathan Viera - 10,Javi Varas
65,Valencia,ESP,12,Stay,38,11,11,16,46,48,-2,44,1,37474,Paco Alcácer - 13,Jaume Doménech
67,Espanyol,ESP,13,Stay,38,12,7,19,40,74,-34,43,1,20267,Felipe Caicedo - 8,Pau López
68,Eibar,ESP,14,Stay,38,11,10,17,49,61,-12,43,1,5216,Borja Bastón - 18,Asier Riesgo
75,La Coruña,ESP,15,Stay,38,8,18,12,45,61,-16,42,1,23797,Lucas Pérez - 17,Germán Lux
84,Granada,ESP,16,Stay,38,10,9,19,46,69,-23,39,1,16414,Youssef El-Arabi - 16,Andrés Fernández
