Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
1,Liverpool,ENG,Stay,1,38,32,3,3,85,33,52,99,2.61,"41,955",Mohamed Salah - 19,Alisson
8,Manchester City,ENG,Stay,2,38,26,3,9,102,35,67,81,2.13,"37,097",Raheem Sterling - 20,Ederson
21,Manchester Utd,ENG,Stay,3,38,18,12,8,66,36,30,66,1.74,"57,415","Marcus Rashford, Anthony Martial - 17",David de Gea
22,Chelsea,ENG,Stay,4,38,20,6,12,69,54,15,66,1.74,"32,023",Tammy Abraham - 15,Kepa Arrizabalaga
24,Leicester City,ENG,Stay,5,38,18,8,12,67,41,26,62,1.63,"25,312",Jamie Vardy - 23,Kasper Schmeichel
27,Tottenham,ENG,Stay,6,38,16,11,11,61,47,14,59,1.55,"43,757",Harry Kane - 18,Hugo Lloris
28,Wolves,ENG,Stay,7,38,15,14,9,51,40,11,59,1.55,"24,758",Raúl Jiménez - 17,Rui Patrício
30,Arsenal,ENG,Stay,8,38,14,14,10,56,48,8,56,1.47,"47,589",Pierre-Emerick Aubameyang - 22,Bernd Leno
39,Burnley,ENG,Stay,10,38,15,9,14,43,50,-7,54,1.42,"15,995",Chris Wood - 14,Nick Pope
40,Sheffield Utd,ENG,Stay,9,38,14,12,12,39,39,0,54,1.42,"24,370","Oliver McBurnie, Lys Mousset - 6",Dean Henderson
46,Southampton,ENG,Stay,11,38,15,7,16,51,60,-9,52,1.37,"23,428",Danny Ings - 22,Alex McCarthy
53,Everton,ENG,Stay,12,38,13,10,15,44,56,-12,49,1.29,"28,848","Dominic Calvert-Lewin, Richarlison - 13",Jordan Pickford
65,Newcastle Utd,ENG,Stay,13,38,11,11,16,38,58,-20,44,1.16,"35,551",Jonjo Shelvey - 6,Martin Dúbravka
67,Crystal Palace,ENG,Stay,14,38,11,10,17,31,50,-19,43,1.13,"19,784",Jordan Ayew - 9,Vicente Guaita
72,Brighton,ENG,Stay,15,38,9,14,15,39,54,-15,41,1.08,"22,369",Neal Maupay - 10,Mathew Ryan
79,West Ham,ENG,Stay,16,38,10,9,19,49,62,-13,39,1.03,"44,155",Michail Antonio - 10,Łukasz Fabiański
85,Aston Villa,ENG,Stay,17,38,9,8,21,41,67,-26,35,0.92,"28,505",Jack Grealish - 8,Tom Heaton
88,Bournemouth,ENG,Relegated,18,38,9,7,22,40,65,-25,34,0.89,"7,745",Callum Wilson - 8,Aaron Ramsdale
